id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://simonwillison.net/2026/Apr/14/replace-token-based-csrf/#atom-everything,Simon Willison,datasette PR #2689: Replace token-based CSRF with Sec-Fetch-Site header protection,2026-04-14,其他,否,"<p><strong><a href=""https://github.com/simonw/datasette/pull/2689"">datasette PR #2689: Replace token-based CSRF with Sec-Fetch-Site header protection</a></strong></p>
Datasette has long protected agai",,https://simonwillison.net/2026/Apr/14/replace-token-based-csrf/#atom-everything,,2026-04-15 04:41:38
rss_https://openai.com/index/the-next-evolution-of-the-agents-sdk,OpenAI,The next evolution of the Agents SDK,2026-04-15,其他,否,"OpenAI updates the Agents SDK with native sandbox execution and a model-native harness, helping developers build secure, long-running agents across files and tools.",,https://openai.com/index/the-next-evolution-of-the-agents-sdk,,2026-04-16 04:47:37
rss_https://deepmind.google/blog/gemini-3-1-flash-tts-the-next-generation-of-expressive-ai-speech/,Google DeepMind,Gemini 3.1 Flash TTS: the next generation of expressive AI speech,2026-04-15,其他,否,Our newest audio model introduces granular audio tags that give you precise control to direct AI speech for expressive audio generation.,,https://deepmind.google/blog/gemini-3-1-flash-tts-the-next-generation-of-expressive-ai-speech/,,2026-04-16 04:47:38
rss_https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-tts/,Google AI,Gemini 3.1 Flash TTS: the next generation of expressive AI speech,2026-04-15,其他,否,"Gemini logo next to the text ""3.1 Flash TTS"", all over colored dots",,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-tts/,,2026-04-16 04:47:38
rss_https://huggingface.co/blog/ibm-research/vakra-benchmark-analysis,Hugging Face,"Inside VAKRA: Reasoning, Tool Use, and Failure Modes of Agents",2026-04-15,其他,否,,,https://huggingface.co/blog/ibm-research/vakra-benchmark-analysis,,2026-04-16 04:47:39
rss_https://simonwillison.net/2026/Apr/16/datasette-io-preview/#atom-everything,Simon Willison,datasette.io news preview,2026-04-16,其他,否,"<p><strong>Tool:</strong> <a href=""https://tools.simonwillison.net/datasette-io-preview"">datasette.io news preview</a></p>
    <p>The <a href=""https://datasette.io/"">datasette.io</a> website has a new",,https://simonwillison.net/2026/Apr/16/datasette-io-preview/#atom-everything,,2026-04-16 04:47:41
rss_https://simonwillison.net/2026/Apr/15/datasette-export-database/#atom-everything,Simon Willison,datasette-export-database 0.3a1,2026-04-15,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-export-database/releases/tag/0.3a1"">datasette-export-database 0.3a1</a></p>
    <p>This plugin was using the <code>ds_csrft",,https://simonwillison.net/2026/Apr/15/datasette-export-database/#atom-everything,,2026-04-16 04:47:41
rss_https://simonwillison.net/2026/Apr/15/datasette/#atom-everything,Simon Willison,datasette 1.0a27,2026-04-15,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/datasette/releases/tag/1.0a27"">datasette 1.0a27</a></p>
    <p>Two major changes in this new Datasette alpha. I covered the first of tho",,https://simonwillison.net/2026/Apr/15/datasette/#atom-everything,,2026-04-16 04:47:41
rss_https://simonwillison.net/2026/Apr/15/gemini-31-flash-tts/#atom-everything,Simon Willison,Gemini 3.1 Flash TTS,2026-04-15,其他,否,"<p><strong><a href=""https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-tts/"">Gemini 3.1 Flash TTS</a></strong></p>
Google released Gemini 3.1 Flash TTS today, a n",,https://simonwillison.net/2026/Apr/15/gemini-31-flash-tts/#atom-everything,,2026-04-16 04:47:41
rss_https://simonwillison.net/2026/Apr/15/datasette-ports/#atom-everything,Simon Willison,datasette-ports 0.3,2026-04-15,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-ports/releases/tag/0.3"">datasette-ports 0.3</a></p>
    <p>A small update for my tool for helping me figure out what all of",,https://simonwillison.net/2026/Apr/15/datasette-ports/#atom-everything,,2026-04-16 04:47:41
